"MembreProvince","MembreStatut","section"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Ontario","Inactif","Ottawa-Gatineau"
"Québec","Actif","AUTRES"
"Ontario","Inactif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Manitoba","Actif","AUTRES"
"Québec","Inactif","AUTRES"
"Québec","Inactif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif",
"Québec","Actif","MONTREAL"
"Ontario","Actif","Ottawa-Gatineau"
"Québec","Inactif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Inactif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Ontario","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","ESTRIE"
"Québec","Inactif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Inactif","ESTRIE"
"Québec","Actif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Inactif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","AUTRES"
"Alberta","Actif","AUTRES"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Ontario","Actif","AUTRES"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Ontario","Inactif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Manitoba","Actif","AUTRES"
"Québec","Actif","MONTREAL"
"Québec","Actif",
"Québec","Inactif","AUTRES"
"Québec","Actif","AUTRES"
"Ontario","Inactif","Ottawa-Gatineau"
"Québec","Inactif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Ontario","Inactif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Actif","MONTREAL"
"Saskatchewan","Actif","AUTRES"
"Ontario","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Inactif","Ottawa-Gatineau"
"Québec","Inactif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Ontario","Actif","Ottawa-Gatineau"
"Québec","Actif",
"Québec","Actif","MONTREAL"
"Québec","Inactif","Ottawa-Gatineau"
"Québec","Actif","AUTRES"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif",
"Québec","Actif","MONTREAL"
"Québec","Actif","AUTRES"
"Québec","Inactif","MONTREAL"
"Ontario","Inactif","Ottawa-Gatineau"
"Ontario","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","AUTRES"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Inactif","AUTRES"
"Ontario","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif",
"Québec","Actif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Inactif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Inactif",
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","AUTRES"
"Québec","Inactif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Ontario","Inactif","Ottawa-Gatineau"
"Ontario","Inactif","Ottawa-Gatineau"
"Québec","Inactif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif",
"Québec","Actif","MONTREAL"
"Ontario","Inactif","Ottawa-Gatineau"
"Québec","Inactif","MONTREAL"
"Québec","Actif","AUTRES"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Inactif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","AUTRES"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Inactif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Inactif","Ottawa-Gatineau"
"Québec","Actif","AUTRES"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Ontario","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Actif",
"Québec","Actif","AUTRES"
"Québec","Actif","ESTRIE"
"Québec","Actif","ESTRIE"
"Québec","Actif","MONTREAL"
"Ontario","Inactif","AUTRES"
"Québec","Inactif",
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif",
"Québec","Inactif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Ontario","Inactif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Actif",
"Québec","Inactif","Ottawa-Gatineau"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif",
"Ontario","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Actif",
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Inactif","ESTRIE"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif",
"Québec","Actif","ESTRIE"
"Québec","Inactif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Ontario","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","AUTRES"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","AUTRES"
"Québec","Inactif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","AUTRES"
"Québec","Actif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","AUTRES"
"Québec","Actif","MONTREAL"
"Ontario","Actif","Ottawa-Gatineau"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Inactif",
"Québec","Actif","MONTREAL"
"Québec","Inactif","AUTRES"
"Québec","Actif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Inactif","MONTREAL"
"Québec","Actif","MONTREAL"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","Ottawa-Gatineau"
"Québec","Actif","MONTREAL"
"Québec","Inactif","Ottawa-Gatineau"
"Québec","Inactif","MONTREAL"
"Ontario","Inactif","AUTRES"
